,home_won
289976,0
396111,0
33073,0
126841,1
98651,1
39587,1
178677,0
353726,1
165259,0
332309,0
89787,1
66937,1
228474,0
257584,0
273462,0
34013,0
106682,0
323730,1
228893,1
121066,0
10688,1
111066,1
133622,0
17819,1
195021,0
395710,0
371748,1
363572,1
390589,0
57761,1
92744,0
369496,1
25780,1
21590,0
413240,1
325812,0
180325,1
300220,1
383291,1
67680,1
315136,1
151416,1
221353,0
147566,1
88128,1
374207,0
25289,1
246223,1
60667,1
164423,1
123807,1
183199,1
226684,0
207379,1
76406,1
75486,1
69337,1
29936,1
320225,0
90832,1
51636,1
416657,1
71008,1
129886,1
412752,1
39073,1
293766,1
312235,0
371717,1
4587,0
8246,1
168485,0
399772,0
203448,1
134728,1
352102,0
420468,0
368059,1
82595,0
284641,0
66854,1
401147,1
54019,1
361276,0
386565,0
6039,0
103086,1
126063,1
109376,1
10626,1
239470,0
173037,0
97444,0
345015,0
65574,0
323211,0
344006,1
241233,0
156841,1
109524,1
229242,0
64650,0
41922,1
207262,0
128568,0
283324,0
53161,0
160769,1
209544,1
52541,1
29074,0
226911,0
335107,1
149161,0
318653,0
225378,0
344232,1
371252,1
118642,1
79401,0
217915,1
96938,1
345704,1
189761,1
376336,1
235343,0
271455,1
336003,0
415272,0
142155,1
144505,1
195960,0
370636,1
345583,0
40780,0
385031,1
308636,1
289111,1
340921,0
369564,1
92554,1
19261,1
190861,1
117031,0
34582,1
401295,1
307125,0
113652,0
74500,1
65747,0
282504,1
14759,1
292466,0
172998,0
41759,1
291834,1
249174,1
31942,0
137897,1
325686,1
380181,1
365077,0
376870,0
77213,1
13472,0
281815,0
27294,1
43494,1
14973,0
48185,0
164629,0
53948,1
381555,1
358848,0
308002,1
2551,0
43573,1
252409,0
290327,1
394808,1
213783,1
308028,1
287501,0
207847,1
53234,1
131611,0
304062,0
205202,1
175867,1
146383,1
351488,0
251817,0
160263,0
43145,1
296718,1
3670,0
319564,0
139943,1
56812,1
161541,1
104743,0
172842,1
72944,1
397061,1
204957,0
293262,1
400274,1
196660,1
115456,1
278565,1
15602,1
298944,0
319538,0
180075,1
198056,0
339417,0
73359,1
226277,1
88184,1
112853,1
301204,1
335453,0
267609,0
280031,0
231319,0
170370,1
274237,1
204206,0
65662,0
181514,1
250501,0
421135,1
342838,1
46752,0
171789,1
381610,0
21298,0
126242,1
189989,1
122540,1
415195,0
293317,1
39511,1
375409,0
96546,0
247831,1
376266,1
372544,1
393380,1
264815,0
373285,0
291633,1
40917,0
48082,0
40016,1
38446,1
126203,1
96285,0
212981,1
73651,1
307932,1
197364,1
343732,1
127019,1
65835,0
331686,0
70965,1
294740,0
353324,1
285354,1
408026,1
170215,0
281326,1
399566,0
50990,0
418264,0
304193,1
189502,1
250885,0
322855,1
292236,1
262432,0
249491,1
220466,1
179819,1
221642,1
69975,1
368129,1
350381,1
35905,0
25505,1
406408,1
375600,1
43051,0
164894,0
212713,0
306562,0
401030,1
253577,0
234855,0
275910,1
251403,1
49460,1
48249,1
75385,1
243585,0
14407,0
129910,1
172468,0
345057,1
313546,0
101703,0
306900,0
294471,1
124742,0
14192,0
152465,1
89840,1
163345,0
405400,1
411911,1
404967,0
367461,1
210826,1
322045,1
324721,1
192551,1
344808,1
284783,0
285780,0
123610,0
296967,1
170231,0
206287,1
412335,1
167776,1
63379,1
127029,1
247584,1
142399,1
13009,1
382159,1
21537,0
326814,0
401762,1
302714,1
144180,1
158393,0
156444,1
60181,1
214196,1
27187,1
45918,1
178310,0
70390,1
189506,1
51281,0
184210,1
118009,1
128292,0
141199,0
288774,0
111850,1
140627,1
119757,0
