,home_won
165445,0
209085,0
70346,0
229942,1
196419,0
73093,0
306590,0
345475,0
187123,1
34163,1
33046,0
300142,1
407164,0
133235,1
285717,0
3153,1
368704,0
83425,0
406521,0
315668,0
45900,1
265820,1
354335,1
128070,1
74143,1
125346,1
180077,1
56595,1
335599,1
25845,1
207207,0
130743,1
187791,0
231738,1
377817,1
56636,1
243159,0
295433,0
371906,1
357794,0
318898,0
210470,0
288848,0
42241,1
64821,1
265121,1
236355,0
240567,1
325398,1
204202,0
17911,1
412763,1
48526,1
267512,0
348423,0
368425,1
390316,0
35547,1
408611,1
380321,0
29885,0
179718,0
222640,0
54923,1
290030,1
421715,1
128617,0
314198,1
99364,1
361734,1
42157,1
204500,0
254676,1
369939,1
146676,0
327983,0
44255,1
130539,0
355982,1
321752,1
73071,0
186820,1
208801,0
315517,0
242991,1
138909,1
375500,1
261925,0
174768,1
260809,1
237324,0
169500,0
277635,0
149924,1
397629,0
262861,0
83160,0
166859,1
181259,0
68065,0
28580,1
280393,1
356333,1
166038,0
189603,1
63158,0
123705,0
263939,1
389355,1
96667,0
289803,0
274074,1
273352,1
214872,0
5000,1
178533,0
95627,1
111585,1
126837,1
228631,0
60292,1
124178,1
97579,1
251137,0
102931,0
55501,1
369567,1
342662,0
81532,1
82113,1
285201,1
411137,0
136656,1
142097,1
99329,1
376470,1
305625,1
236542,1
102771,1
392136,0
317594,1
266087,1
403228,1
256284,0
361488,1
138154,0
130224,0
20068,1
147272,0
399714,0
70140,1
147690,1
257118,1
271567,0
162617,1
216715,1
228435,0
161510,1
108107,0
256951,1
21085,0
293417,1
371696,1
29869,0
50808,0
406152,0
323610,1
336584,1
177352,1
106505,1
399312,1
419841,0
147255,0
232834,0
228223,0
395729,0
189587,1
190086,1
329348,0
307764,0
338321,1
3596,0
395506,1
175048,0
163502,0
190371,1
256449,0
256320,0
269418,1
298408,0
333254,0
371165,1
83343,0
225087,1
33996,0
345084,1
167014,0
306213,1
125489,1
263129,0
385070,1
289088,1
174086,0
25396,1
220830,0
13049,1
285222,1
249021,0
264592,1
184808,1
288845,0
241491,0
387131,0
301889,1
226876,0
367940,1
366303,1
297490,1
39881,0
263543,0
96273,0
188876,1
154185,0
316327,0
26420,0
324941,1
3841,1
29039,1
124325,1
9629,0
92684,0
237404,0
38500,1
155185,0
71396,1
383430,1
368691,0
165598,1
247761,0
39847,0
363999,0
343979,1
284695,0
